　　　　　　　　电影名称　　　　　　　　	    评分    	   评论人数   	短评　　　　　　　　
　　　　　　　　窃听风暴　　　　　　　　	   9.1    	  248555  	别样人生。　　　　　
　　　　　　　两杆大烟枪　　　　　　　　	   9.1    	  295893  	4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
　　　　　　　　控方证人　　　　　　　　	   9.6    	  110666  	比利·怀德满分作品。
　　　　　　　飞越疯人院　　　　　　　　	   9.0    	  300266  	自由万岁。　　　　　
　　　　　　　闻香识女人　　　　　　　　	   8.9    	  357303  	史上最美的探戈。　　
　　　　　　哈尔的移动城堡　　　　　　　	   8.9    	  391880  	带着心爱的人在天空飞翔。
　　　　　　　　海豚湾　　　　　　　　　	   9.3    	  195510  	海豚的微笑，是世界上最高明的伪装。
　　　　　　　V字仇杀队　　　　　　　　	   8.8    	  462710  	一张面具背后的理想与革命。
　　　　　　　　辩护人　　　　　　　　　	   9.1    	  236030  	电影的现实意义大过电影本身。
　　　　　　　　死亡诗社　　　　　　　　	   9.0    	  307777  	当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
　　　　　　　　教父2　　　　　　　　　	   9.1    	  206807  	优雅的孤独。　　　　
　　　　　　　　美丽心灵　　　　　　　　	   8.9    	  332756  	爱是一切逻辑和原由。
　　　　　指环王2：双塔奇兵　　　　　　	   9.0    	  295225  	承前启后的史诗篇章。
　　　　　指环王1：魔戒再现　　　　　　	   8.9    	  330420  	传说的开始。　　　　
　　　　　　　　　情书　　　　　　　　　	   8.8    	  410152  	暗恋的极致。　　　　
　　　　　　　　饮食男女　　　　　　　　	   9.1    	  222294  	人生不能像做菜，把所有的料都准备好了才下锅。
　　　　　　　摔跤吧！爸爸　　　　　　　	   9.1    	  514384  	你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
　　　　　　　　美国往事　　　　　　　　	   9.1    	  190989  	往事如烟，无处祭奠。
　　　　　　　　狮子王　　　　　　　　　	   8.9    	  308262  	动物版《哈姆雷特》。
　　　　　　　　钢琴家　　　　　　　　　	   9.0    	  219656  	音乐能化解仇恨。　　
　　　　　　　天使爱美丽　　　　　　　　	   8.7    	  518825  	法式小清新。 　　　
　　　　　　　　七宗罪　　　　　　　　　	   8.7    	  467709  	警察抓小偷，老鼠玩死猫。
　　　　　　　　　素媛　　　　　　　　　	   9.1    	  204541  	受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
　　　　　被嫌弃的松子的一生　　　　　　	   8.9    	  318940  	以戏谑来戏谑戏谑。　
　　　　　　　　小鞋子　　　　　　　　　	   9.2    	  152948  	奔跑的孩子是天使。　
　　　　　　　　致命魔术　　　　　　　　	   8.8    	  374665  	孪生蝙蝠侠大战克隆金刚狼。
　　　　　　　看不见的客人　　　　　　　	   8.8    	  375387  	你以为你以为的就是你以为的。
　　　　　　　　音乐之声　　　　　　　　	   8.9    	  250554  	用音乐化解仇恨，让歌声串起美好。
　　　　　　　　勇敢的心　　　　　　　　	   8.8    	  314487  	史诗大片的典范。　　
　　　　　　　剪刀手爱德华　　　　　　　	   8.7    	  522077  	浪漫忧郁的成人童话。
　　　　　　本杰明·巴顿奇事　　　　　　	   8.8    	  424407  	在时间之河里感受溺水之苦。
　　　　　　　　低俗小说　　　　　　　　	   8.8    	  363655  	故事的高级讲法。　　
　　　　　　西西里的美丽传说　　　　　　	   8.7    	  383738  	美丽无罪。　　　　　
　　　　　　　　黑客帝国　　　　　　　　	   8.8    	  306079  	视觉革命。　　　　　
　　　　　　　拯救大兵瑞恩　　　　　　　	   8.9    	  261421  	美利坚精神输出大片No1.
　　　　　　　沉默的羔羊　　　　　　　　	   8.7    	  382349  	安东尼·霍普金斯的顶级表演。
　　　　　　　　入殓师　　　　　　　　　	   8.8    	  337619  	死可能是一道门，逝去并不是终结，而是超越，走向下一程。
　　　　　　　　蝴蝶效应　　　　　　　　	   8.7    	  412946  	人的命运被自己瞬间的抉择改变。
　　　　　　　　让子弹飞　　　　　　　　	   8.7    	  674914  	你给我翻译翻译，神马叫做TMD的惊喜。
　　　　　　　玛丽和马克思　　　　　　　	   8.9    	  244085  	你是我最好的朋友，你是我唯一的朋友 。
　　　　　　　　春光乍泄　　　　　　　　	   8.8    	  269183  	爱情纠缠，男女一致。
　　　　　　　　大闹天宫　　　　　　　　	   9.2    	  111163  	经典之作，历久弥新。
　　　　　　　　心灵捕手　　　　　　　　	   8.8    	  294406  	人生中应该拥有这样的一段豁然开朗。
　　　　　　阳光灿烂的日子　　　　　　　	   8.8    	  291729  	一场华丽的意淫。　　
　　　　　　　　末代皇帝　　　　　　　　	   8.9    	  188325  	“不要跟我比惨，我比你更惨”再适合这部电影不过了。
　　　　　　　　幽灵公主　　　　　　　　	   8.8    	  253545  	人与自然的战争史诗。
　　　　　　　　第六感　　　　　　　　　	   8.8    	  251953  	深入内心的恐怖，出人意料的结局。
　　　　　　　　重庆森林　　　　　　　　	   8.7    	  357777  	寂寞没有期限。　　　
　　　　　　　　禁闭岛　　　　　　　　　	   8.7    	  388449  	昔日翩翩少年，今日大腹便便。
　　　　　　布达佩斯大饭店　　　　　　　	   8.8    	  342918  	小清新的故事里注入了大历史的情怀。
　　　　　　　　　大鱼　　　　　　　　　	   8.7    	  270830  	抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
　　　　　　　　　狩猎　　　　　　　　　	   9.0    	  141933  	人言可畏。　　　　　
　　　　　哈利·波特与魔法石　　　　　　	   8.7    	  283332  	童话世界的开端。　　
　　　　　射雕英雄传之东成西就　　　　　	   8.7    	  295931  	百看不厌。 　　　　
　　　　　　　　致命ID　　　　　　　　	   8.6    	  343148  	最不可能的那个人永远是最可能的。
　　　　　　　　甜蜜蜜　　　　　　　　　	   8.8    	  247419  	相逢只要一瞬间，等待却像是一辈子。
　　　　　　　　断背山　　　　　　　　　	   8.6    	  343431  	每个人心中都有一座断背山。
　　　　　　　　猫鼠游戏　　　　　　　　	   8.7    	  250254  	骗子大师和执著警探的你追我跑故事。 
　　　　　　　　　一一　　　　　　　　　	   8.9    	  166441  	我们都曾经是一一。　
　　　　　　　　　告白　　　　　　　　　	   8.7    	  366564  	没有一人完全善，也没有一人完全恶。
　　　　　　　阳光姐妹淘　　　　　　　　	   8.8    	  288468  	再多各自牛逼的时光，也比不上一起傻逼的岁月。 
